Product Code,Category,Item Name,Best Price,Best Unit Price,Item Price,Unit Price,Link,Price Was,Special Text,Complex Promo Text
3215171,Fruit & Vegetables,Coles Herb Punnets Thyme | 10g,3.2,3.201,3.2,3.201,https://www.coles.com.au/product/coles-herb-punnets-thyme-10g-3215171,,,
2552868,Fruit & Vegetables,Coles Baby Brown Onions | 500g,2.5,5.001,2.5,5.001,https://www.coles.com.au/product/coles-baby-brown-onions-500g-2552868,,,
2483914,Fruit & Vegetables,Coles Rosalee Pink Onions Prepacked | 1kg,3.6,3.601,3.6,3.601,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,,,
4183423,Fruit & Vegetables,Coles Butternut Pumpkin Whole | approx 2Kg,7,3.501,7,3.501,https://www.coles.com.au/product/coles-butternut-pumpkin-whole-approx.-2kg-each-4183423,,,
5323153,Fruit & Vegetables,Coles Large Grapefruit Ruby Red | approx 375g,1.84,4.901,1.84,4.901,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-375g-each-5323153,,,
3016120,Fruit & Vegetables,Coles Kitchen Superfood Slaw Mix | 350g,4,11.431,4,11.431,https://www.coles.com.au/product/coles-kitchen-superfood-slaw-mix-350g-3016120,,,
2725922,Fruit & Vegetables,Coles Organic Baby Spinach | 100g,4.8,48.001,4.8,48.001,https://www.coles.com.au/product/coles-organic-baby-spinach-100g-2725922,,,
8412431,Fruit & Vegetables,Coles Natural Cashews | approx 100g,2.4,24.001,2.4,24.001,https://www.coles.com.au/product/coles-natural-cashews-approx.-100g-8412431,,,
3256849,Fruit & Vegetables,Coles Baby Beetroot Prepacked | 250g,3,12.001,3,12.001,https://www.coles.com.au/product/coles-baby-beetroot-prepacked-250g-3256849,,,
7543026,Fruit & Vegetables,Coles Unique Selection Black Grapes | 400g,5,12.501,5,12.501,https://www.coles.com.au/product/coles-unique-selection-black-grapes-400g-7543026,,,
8413300,Fruit & Vegetables,Coles Roasted Unsalted Almonds | approx 100g,2.2,22.001,2.2,22.001,https://www.coles.com.au/product/coles-roasted-unsalted-almonds-approx.-100g-8413300,,,
2517630,Fruit & Vegetables,Coles Brushed Baby Potato | 1kg,3,3.001,3,3.001,https://www.coles.com.au/product/coles-brushed-baby-potato-1kg-2517630,,,
2859066,Fruit & Vegetables,Coles Kitchen Australian Diced Butternut Pu ... 500g,5,10.001,5,10.001,https://www.coles.com.au/product/coles-kitchen-australian-diced-butternut-pumpkin-500g-2859066,,,
1039770,Fruit & Vegetables,Coles Organic Bananas | approx 170g,1.02,6.001,1.02,6.001,https://www.coles.com.au/product/coles-organic-bananas-approx.-170g-1039770,,,
8417220,Fruit & Vegetables,Coles Dried Apricots | approx 100g,1.8,18.001,1.8,18.001,https://www.coles.com.au/product/coles-dried-apricots-approx.-100g-8417220,,,
3214576,Fruit & Vegetables,Coles Herb Punnets Parsley Continental | 15g,3.2,2.131,3.2,2.131,https://www.coles.com.au/product/coles-herb-punnets-parsley-continental-15g-3214576,,,
3613120,Fruit & Vegetables,Coles Spinach And Kale | 300g,5,16.671,5,16.671,https://www.coles.com.au/product/coles-spinach-and-kale-300g-3613120,,,
4910980,Fruit & Vegetables,Coles Fennel | 1 bunch,3.5,3.501,3.5,3.501,https://www.coles.com.au/product/coles-fennel-1-bunch-4910980,,,
9323257,Fruit & Vegetables,Coles Brussels Sprouts Prepack | 400g,7.9,19.751,7.9,19.751,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,,,
2679519,Fruit & Vegetables,Coles Kitchen Creme Royale Potato Mash | 350g,4.75,13.571,4.75,13.571,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,,,
6467068,Fruit & Vegetables,Coles Sliced Brown Mushrooms Prepacked | 200g,5.7,28.501,5.7,28.501,https://www.coles.com.au/product/coles-sliced-brown-mushrooms-prepacked-200g-6467068,,,
1948626,Fruit & Vegetables,Coles BBQ Rice Crackers | approx 100g,1.8,18.001,1.8,18.001,https://www.coles.com.au/product/coles-bbq-rice-crackers-approx.-100g-1948626,,,
8704110,Fruit & Vegetables,Coles Chilli & Lime Soy Crisps | approx 100g,1.8,18.001,1.8,18.001,https://www.coles.com.au/product/coles-chilli-and-lime-soy-crisps-approx.-100g-8704110,,,
1944206,Fruit & Vegetables,Coles Dried Mango Slices | approx 100g,2.5,25.001,2.5,25.001,https://www.coles.com.au/product/coles-dried-mango-slices-approx.-100g-1944206,,,
4911870,Fruit & Vegetables,Coles Radish Bunch | 1 each,3.9,3.901,3.9,3.901,https://www.coles.com.au/product/coles-radish-bunch-1-each-4911870,,,
6614720,Fruit & Vegetables,Coles White Radish | approx 800g,4.72,5.901,4.72,5.901,https://www.coles.com.au/product/coles-white-radish-approx.-800g-6614720,,,
5476234,Fruit & Vegetables,Coles Fruit & Nut Trail Mix | 400g,5,12.501,5,12.501,https://www.coles.com.au/product/coles-fruit-and-nut-trail-mix-400g-5476234,,,
8018010,Fruit & Vegetables,Fresh Longans Prepack | 400g,6.9,17.251,6.9,17.251,https://www.coles.com.au/product/fresh-longans-prepack-400g-8018010,,,
7141758,Fruit & Vegetables,Coles Dutch Cream Brushed Potatoes Loose | approx 200g,0.98,4.901,0.98,4.901,https://www.coles.com.au/product/coles-dutch-cream-brushed-potatoes-loose-approx.-200g-each-7141758,,,
4966930,Fruit & Vegetables,Coles Swedes Loose | approx 230g,1.61,7.001,1.61,7.001,https://www.coles.com.au/product/coles-swedes-loose-approx.-230g-each-4966930,,,
8412588,Fruit & Vegetables,Coles Roasted Salted Pistachios | approx 100g,2.8,28.001,2.8,28.001,https://www.coles.com.au/product/coles-roasted-salted-pistachios-approx.-100g-8412588,,,
8791125,Fruit & Vegetables,Coles Cos Lettuce Head | 1 each,2.9,2.901,2.9,2.901,https://www.coles.com.au/product/coles-cos-lettuce-head-1-each-8791125,,,
