Store,Timestamp,Product Name,Size,Original Price,Discounted Price,Unit Price,Product Link
Foodland Balaklava,2025-05-04 23:54:15,Onions Brown Pre Pack,1kg,N/A,$3.50,$3.50 per kg,https://foodlandbalaklava.com.au//lines/onions-brown-pre-pack-1kg
Foodland Balaklava,2025-05-04 23:54:15,Potatoes Sweet Per Kg,N/A,was $4.80 per kg,$1.48,$3.60 per kg,https://foodlandbalaklava.com.au//lines/potatoes-sweet-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Raspberries Punnet,125g,N/A,$5.80,$46.40 per kg,https://foodlandbalaklava.com.au//lines/raspberries-punnet-125g
Foodland Balaklava,2025-05-04 23:54:15,Golden Bakery 6 Crumpet Squares 6 Pack,425g,was $4.90,$3.50,$0.82 per 100g,https://foodlandbalaklava.com.au//lines/golden-crumpets-brks-425gm
Foodland Balaklava,2025-05-04 23:54:15,Rockmelon Per Kg,N/A,N/A,$2.70,$5.50 per kg,https://foodlandbalaklava.com.au//lines/rockmelon-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Foodland Water,10L,was $5.15,$4.20,$0.42 per L,https://foodlandbalaklava.com.au//lines/f-land-spring-water-10l
Foodland Balaklava,2025-05-04 23:54:15,Birds Eye Golden Crunch Supercrunch Chips,750g,was $5.90,$5.00,$6.67 per kg,https://foodlandbalaklava.com.au//lines/b-eye-chips-s-c-crunch-750gm
Foodland Balaklava,2025-05-04 23:54:15,Mission Original Wraps 8pk,N/A,was $5.80,$4.50,$0.79 per 100g,https://foodlandbalaklava.com.au//lines/mission-wraps-original-8pk
Foodland Balaklava,2025-05-04 23:54:15,Bega Farmers Tasty Natural Cheese Slices,500g,was $11.55,$11.00,$22.00 per kg,https://foodlandbalaklava.com.au//lines/bega-chse-chdr-tasty-slc-500gm
Foodland Balaklava,2025-05-04 23:54:15,Grapes Red Per Kg,N/A,N/A,$6.90,N/A,https://foodlandbalaklava.com.au//lines/grapes-dark-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Mushrooms Loose Per Kg,N/A,N/A,$0.29,$14.45 per kg,https://foodlandbalaklava.com.au//lines/mushrooms-loose-per-kg
Foodland Balaklava,2025-05-04 23:54:15,Potatoes Premium Loose Kg,N/A,N/A,$0.86,$6.00 per kg,https://foodlandbalaklava.com.au//lines/potatoes-premium-loose-kg
Foodland Balaklava,2025-05-04 23:54:15,Black & Gold Sour Cream,300mL,N/A,$3.40,$1.13 per 100mL,https://foodlandbalaklava.com.au//lines/b-gold-cream-sour-300ml
Foodland Balaklava,2025-05-04 23:54:15,Birds Eye Corn Cobs Supersweet,1kg,N/A,$6.00,$6.00 per kg,https://foodlandbalaklava.com.au//lines/b-eye-corn-sunny-cobs-1kg
Foodland Balaklava,2025-05-04 23:54:17,Ham Traditional,N/A,N/A,$26.99,N/A,https://foodlandbalaklava.com.au//lines/ham-traditional
Foodland Balaklava,2025-05-04 23:54:17,Foodland Bread Jumbo White,700g,was $3.40,$3.30,$0.47 per 100g,https://foodlandbalaklava.com.au//lines/f-land-brd-jumbo-white-700gm
Foodland Balaklava,2025-05-04 23:54:17,Kleenex Everyday 2 Ply Facial Tissues 200 Pack,N/A,was $3.45,$3.00,$1.50 Units100,https://foodlandbalaklava.com.au//lines/klnx-tissue-e-day-200s
Foodland Balaklava,2025-05-04 23:54:17,Arnott's Jatz Original Cracker,225g,was $4.00,$3.50,$1.56 per 100g,https://foodlandbalaklava.com.au//lines/arn-jatz-original-225gm
Foodland Balaklava,2025-05-04 23:54:17,Don® Leg Ham Shaved,200g,was $6.95,$5.00,$25.00 per kg,https://foodlandbalaklava.com.au//lines/don-ham-leg-shaved-200gm
Foodland Balaklava,2025-05-04 23:54:17,Pura Lactose Free Light Start,2L,N/A,$5.80,$2.90 per L,https://foodlandbalaklava.com.au//lines/pura-l-free-light-start-2l
Foodland Balaklava,2025-05-04 23:54:17,Foodland Multigrain Sandwich Bread,700g,was $3.40,$3.30,$0.47 per 100g,https://foodlandbalaklava.com.au//lines/f-land-brd-s-w-m-grain-700gm
Foodland Balaklava,2025-05-04 23:54:17,Pumpkin Butternut Per Kg,N/A,was $2.90 per kg,$1.14,$1.90 per kg,https://foodlandbalaklava.com.au//lines/pumpkin-butternut-per-kg
Foodland Balaklava,2025-05-04 23:54:17,R Fresh Baby Spinach,100g,N/A,$3.45,N/A,https://foodlandbalaklava.com.au//lines/r-fresh-english-spinach-100g
