Store,Timestamp,Product Name,Size,Original Price,Discounted Price,Unit Price,Product Link
Adelaide's Finest,2025-05-06 19:18:11,Schwarzkopf Extra Care Shampoo Marrakeesh Oil & Coconut Replenishing 400ml,400ml,9.0,4.50,$1.13 per 100mL,https://shop.adelaidesfinest.com.au//product/474266/schwarzkopf-extra-care-shampoo-marrakeesh-oil-coconut-replenishing-400ml
Adelaide's Finest,2025-05-06 19:18:11,Vanish NapiSan Gold Pro Stain Remover Powder 2kg,2kg,36.0,18.00,$9.00 per kg,https://shop.adelaidesfinest.com.au//product/507636/vanish-napisan-gold-pro-stain-remover-powder-2kg
Adelaide's Finest,2025-05-06 19:18:11,Vanish NapiSan Gold Pro Stain Remover Powder Crystal White 2kg,2kg,36.0,18.00,$9.00 per kg,https://shop.adelaidesfinest.com.au//product/507594/vanish-napisan-gold-pro-stain-remover-powder-crystal-white-2kg
Adelaide's Finest,2025-05-06 19:18:11,Schwarzkopf Extra Care Conditioner Liquid Silk Smoothing 400ml,400ml,9.0,4.50,$1.13 per 100mL,https://shop.adelaidesfinest.com.au//product/473927/schwarzkopf-extra-care-conditioner-liquid-silk-smoothing-400ml
Adelaide's Finest,2025-05-06 19:18:11,Johnson's Body Care Body Wash Moisturising 1lt,1lt,N/A,6.00,$0.60 per 100ml,https://shop.adelaidesfinest.com.au//product/279036/johnson-s-body-care-body-wash-moisturising-1lt
Adelaide's Finest,2025-05-06 19:18:11,Johnson's Body Care Body Wash Extra Rich Moisturising 1lt,1lt,N/A,6.00,$0.60 per 100ml,https://shop.adelaidesfinest.com.au//product/279031/johnson-s-body-care-body-wash-extra-rich-moisturising-1lt
Adelaide's Finest,2025-05-06 19:18:11,Limited Edition Mother's Day Cake White Chocolate Raspberry Pistachio,Pistachio,N/A,60.00,$60.00 each,https://shop.adelaidesfinest.com.au//product/517140/limited-edition-mother-s-day-cake-white-chocolate-raspberry-pistachio
Adelaide's Finest,2025-05-06 19:18:11,AFS Patisserie Plain Croissant Each,Each,N/A,5.00,$5.00 Each,https://shop.adelaidesfinest.com.au//product/501456/afs-patisserie-plain-croissant-each
Adelaide's Finest,2025-05-06 19:18:11,AFS Patisserie Almond Croissant Each,Each,N/A,7.00,$7.00 Each,https://shop.adelaidesfinest.com.au//product/501503/afs-patisserie-almond-croissant-each
Adelaide's Finest,2025-05-06 19:18:11,AFS Patisserie Pain Au Chocolat Each,Each,N/A,6.00,$6.00 Each,https://shop.adelaidesfinest.com.au//product/500740/afs-patisserie-pain-au-chocolat-each
