date,observed,rf_predicted
2026-02-26,60.92,60.0187530952381
2026-02-27,60.92,60.0187530952381
2026-02-28,60.92,60.0187530952381
2026-03-01,60.92,60.0187530952381
2026-03-02,69.52,60.0187530952381
2026-03-03,69.52,69.1495808874459
2026-03-04,69.52,69.1495808874459
2026-03-05,69.52,69.1495808874459
2026-03-06,69.52,69.1495808874459
2026-03-07,68.63,69.1495808874459
2026-03-08,68.63,68.46074571428568
2026-03-09,68.63,68.5775727380952
2026-03-10,68.63,68.5775727380952
2026-03-11,68.63,68.5775727380952
2026-03-12,69.88,68.5775727380952
2026-03-13,69.88,70.11554976190476
2026-03-14,69.88,69.98129738095236
2026-03-15,69.88,69.98129738095236
2026-03-16,69.88,69.98129738095236
2026-03-17,66.78,69.98129738095236
2026-03-18,66.78,68.06184909090916
2026-03-19,66.78,68.01602075757582
2026-03-20,66.78,68.01602075757582
2026-03-21,66.78,68.01602075757582
2026-03-22,67.43,68.01602075757582
2026-03-23,67.43,68.34861523809523
2026-03-24,67.43,67.76274250915758
2026-03-25,67.43,67.76274250915758
2026-03-26,67.43,67.76274250915758
2026-03-27,71.48,67.76274250915758
