date,sarima_forecast,lower_ci,upper_ci
2026-03-28,71.52135174198231,68.14849908688394,74.89420439708068
2026-03-29,71.77580207037062,67.13733573217705,76.41426840856418
2026-03-30,71.8980547995784,66.1717114790332,77.6243981201236
2026-03-31,71.92492574525028,65.36611546014821,78.48373603035235
2026-04-01,72.19551470512194,64.83286547994268,79.55816393030119
2026-04-02,71.78644974463724,63.7546285647074,79.81827092456707
2026-04-03,71.76470685562649,63.068210415174924,80.46120329607805
2026-04-04,71.97828740730247,62.59434990787259,81.36222490673237
2026-04-05,72.06575689717657,62.009838742900286,82.12167505145285
2026-04-06,72.3360976131082,61.67775214307706,82.99444308313933
2026-04-07,72.22987290510879,60.977460096674996,83.48228571354258
2026-04-08,72.62994961110668,60.83430145062354,84.42559777158982
2026-04-09,72.09789594958407,59.764455854467556,84.43133604470059
2026-04-10,72.08506921209734,59.25268606783915,84.91745235635553
2026-04-11,72.20653580812491,58.81429382167164,85.59877779457818
2026-04-12,72.3786314981681,58.46619748740746,86.29106550892874
2026-04-13,72.57091130807561,58.141782805405114,87.0000398107461
2026-04-14,72.53664546357828,57.62228898652144,87.45100194063512
2026-04-15,72.87062154072505,57.474229907917284,88.26701317353283
2026-04-16,72.39934848004528,56.54640734535436,88.2522896147362
2026-04-17,72.32810487804272,56.02168848980495,88.6345212662805
2026-04-18,72.50139651459754,55.7084731734007,89.29431985579438
2026-04-19,72.62576466040919,55.35483020851788,89.8966991123005
2026-04-20,72.86199111245574,55.13059436553297,90.59338785937851
2026-04-21,72.78725893494034,54.602864667139926,90.97165320274075
2026-04-22,73.15850212311094,54.53592381183951,91.78108043438236
2026-04-23,72.65290969291287,53.598830426476866,91.70698895934888
2026-04-24,72.61321157874288,53.140246130161835,92.08617702732391
2026-04-25,72.75740849014457,52.823220809043164,92.69159617124598
2026-04-26,72.90856831733319,52.52891682101141,93.28821981365498
