date,seasonal_component
2025-04-01,4.090173184294806
2025-04-02,4.027805428979073
2025-04-03,3.966264255507123
2025-04-04,3.905798495907137
2025-04-05,3.846704045128023
2025-04-06,1.0767191337482056
2025-04-07,1.0212218413710814
2025-04-08,0.9678745743790285
2025-04-09,0.916694012411736
2025-04-10,0.867524034021901
2025-04-11,-1.5286919092851057
2025-04-12,-1.5747230466750493
2025-04-13,-1.6197011094919151
2025-04-14,-1.6639193661240304
2025-04-15,-1.7075937711006046
2025-04-16,-0.10948011324466195
2025-04-17,-0.15230022519067415
2025-04-18,-0.1947857796105356
2025-04-19,-0.23691272837604466
2025-04-20,-0.2786145401519923
2025-04-21,-0.07306670972751445
2025-04-22,-0.11359279713859802
2025-04-23,-0.1533904707596061
2025-04-24,-0.19244151419523572
2025-04-25,-0.23081444198988416
2025-04-26,-1.9378711676041496
2025-04-27,-1.9754879396331184
2025-04-28,-2.013210099468955
2025-04-29,-2.05148493858615
2025-04-30,-2.0907680369078734
2025-05-01,2.644854178416559
2025-05-02,2.608274532471077
2025-05-03,2.5722653854508044
2025-05-04,2.5369162850317566
2025-05-05,2.502394357325116
2025-05-06,0.8233693891783788
2025-05-07,0.7911088241594207
2025-05-08,0.7602559987099393
2025-05-09,0.7308598135653049
2025-05-10,0.7028572207861562
2025-05-11,-0.7363300045093106
2025-05-12,-0.7620102433812486
2025-05-13,-0.7868208696625165
2025-05-14,-0.8109416514620316
2025-05-15,-0.8345188654596213
2025-05-16,-0.20473377413340335
2025-05-17,-0.22751281768685705
2025-05-18,-0.2499696130650502
2025-05-19,-0.2720991160899339
2025-05-20,-0.29385880423432886
2025-05-21,-0.3388695619001996
2025-05-22,-0.3596700079667501
2025-05-23,-0.37988034243850766
2025-05-24,-0.39947104894025326
2025-05-25,-0.41846258307434675
2025-05-26,-0.9859825582795108
2025-05-27,-1.0040737701067006
2025-05-28,-1.0220025766598797
2025-05-29,-1.0400785761482378
2025-05-30,-1.0586583123300213
2025-05-31,1.309940869310029
2025-06-01,1.2972767760544779
2025-06-02,1.2848170269908974
2025-06-03,1.2725243656613685
2025-06-04,1.260468123896255
2025-06-05,0.5449255667416472
2025-06-06,0.5337935514011632
2025-06-07,0.5233766633100836
2025-06-08,0.5137933479298276
2025-06-09,0.5051116215927323
2025-06-10,0.011447049207552875
2025-06-11,0.004617395476750288
2025-06-12,-0.0013266469315525511
2025-06-13,-0.006459212185188771
2025-06-14,-0.01088751958096731
2025-06-15,-0.23548124037591275
2025-06-16,-0.2388989312398961
2025-06-17,-0.24200402906892762
2025-06-18,-0.24489138500874605
2025-06-19,-0.24762958851631323
2025-06-20,-0.5705202928687461
2025-06-21,-0.5731021742310196
2025-06-22,-0.575657576652023
2025-06-23,-0.5782160491804065
2025-06-24,-0.5807988617609842
2025-06-25,-0.09407618831553541
2025-06-26,-0.09676603044316781
2025-06-27,-0.09959357009125294
2025-06-28,-0.10269187442462052
2025-06-29,-0.1062560403651283
2025-06-30,-0.047175615213675505
2025-07-01,-0.04004083019947942
2025-07-02,-0.03345102409739219
2025-07-03,-0.027534254273050243
2025-07-04,-0.022330891396166726
2025-07-05,0.2761323098131246
2025-07-06,0.2800470987248275
2025-07-07,0.28345941182514506
2025-07-08,0.2865471354030286
2025-07-09,0.289544783277802
2025-07-10,0.6469100545591858
2025-07-11,0.650529071893008
2025-07-12,0.6548191637982271
2025-07-13,0.6598957533803679
2025-07-14,0.6657511176782631
2025-07-15,-0.22968414566970682
2025-07-16,-0.2226854774019878
2025-07-17,-0.21539723027679009
2025-07-18,-0.2079693254771788
2025-07-19,-0.2005075884614971
2025-07-20,-0.7490473084842361
2025-07-21,-0.7416983134834635
2025-07-22,-0.7344109110037226
2025-07-23,-0.7271128824567441
2025-07-24,-0.7196612481533712
2025-07-25,0.5242247924559302
2025-07-26,0.5326055726097693
2025-07-27,0.5417036345993641
2025-07-28,0.5515446291472745
2025-07-29,0.5619976912318223
2025-07-30,-0.4146403937280429
2025-07-31,-0.4038511831739622
2025-08-01,-0.3933559778117158
2025-08-02,-0.38339380963262437
2025-08-03,-0.3741156871955234
2025-08-04,-0.27695357361622375
2025-08-05,-0.2691743851920389
2025-08-06,-0.262143304592965
2025-08-07,-0.25577817623639865
2025-08-08,-0.24994340586366476
2025-08-09,1.1065646964910931
2025-08-10,1.1118059111204173
2025-08-11,1.1169508069466676
2025-08-12,1.1220302904477268
2025-08-13,1.1269741498708514
2025-08-14,0.06900550463175639
2025-08-15,0.073172066874571
2025-08-16,0.07664058901886701
2025-08-17,0.0791838599214181
2025-08-18,0.080580925183892
2025-08-19,-0.9776536325823931
2025-08-20,-0.9791086410340559
2025-08-21,-0.9821904129827389
2025-08-22,-0.9869162658714214
2025-08-23,-0.9931999025340231
2025-08-24,0.5479279494980339
2025-08-25,0.5390922420450323
2025-08-26,0.5293101605997228
2025-08-27,0.5187638857914504
2025-08-28,0.5075680625932599
2025-08-29,-0.7216957500918156
2025-08-30,-0.734102607609425
2025-08-31,-0.7471115248468327
2025-09-01,-0.7607433752354812
2025-09-02,-0.7750469275968935
2025-09-03,-0.20569813934627665
2025-09-04,-0.2215723936809531
2025-09-05,-0.23835222862901428
2025-09-06,-0.25623260808632303
2025-09-07,-0.2754656935241787
2025-09-08,1.1554143287016392
2025-09-09,1.1327314121951608
2025-09-10,1.1079622237024807
2025-09-11,1.0809166233907126
2025-09-12,1.0514286978251839
2025-09-13,0.8611712222012795
2025-09-14,0.8263563744596134
2025-09-15,0.7887390502529112
2025-09-16,0.748203094989315
